# command: kubectl get deployments -n default -o wide
NAME                    READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS   IMAGES                                                                                       SELECTOR
adservice               1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/adservice:v0.10.4               app=adservice
cartservice             1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.4             app=cartservice
checkoutservice         1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/checkoutservice:v0.10.4         app=checkoutservice
currencyservice         1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.4         app=currencyservice
emailservice            1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/emailservice:v0.10.4            app=emailservice
frontend                1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4                app=frontend
loadgenerator           0/0     0            0           11d   main         us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.4           app=loadgenerator
paymentservice          1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.4          app=paymentservice
productcatalogservice   1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.4   app=productcatalogservice
recommendationservice   1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/recommendationservice:v0.10.4   app=recommendationservice
redis-cart              1/1     1            1           11d   redis        redis:alpine                                                                                 app=redis-cart
shippingservice         1/1     1            1           11d   server       us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.4         app=shippingservice
