# command: kubectl get pods -n default -o wide
NAME                                     READY   STATUS    RESTARTS        AGE   IP          NODE             NOMINATED NODE   READINESS GATES
adservice-55c598bc66-5pwnj               1/1     Running   110 (38h ago)   11d   10.1.0.44   docker-desktop   <none>           <none>
cartservice-f7884b586-z8gmz              1/1     Running   0               11d   10.1.0.67   docker-desktop   <none>           <none>
checkoutservice-d895dbc6d-8q4lf          1/1     Running   3 (27h ago)     11d   10.1.0.47   docker-desktop   <none>           <none>
currencyservice-bcb689c9d-z7cq4          1/1     Running   6 (27h ago)     11d   10.1.0.42   docker-desktop   <none>           <none>
emailservice-6897fbb74d-pbfg4            1/1     Running   13 (26h ago)    11d   10.1.0.45   docker-desktop   <none>           <none>
frontend-5dbbc7bb99-ncs5b                1/1     Running   0               11d   10.1.0.65   docker-desktop   <none>           <none>
paymentservice-8588d9c6dd-jw5sv          1/1     Running   7 (27h ago)     11d   10.1.0.50   docker-desktop   <none>           <none>
productcatalogservice-67859888c6-mcppv   1/1     Running   3 (3d16h ago)   11d   10.1.0.49   docker-desktop   <none>           <none>
recommendationservice-bdbc6cbcb-p48qb    1/1     Running   37 (27h ago)    11d   10.1.0.51   docker-desktop   <none>           <none>
redis-cart-64b85949cc-tzl22              1/1     Running   0               11d   10.1.0.61   docker-desktop   <none>           <none>
shippingservice-5dffbf8dfd-b22dz         1/1     Running   1 (3d19h ago)   11d   10.1.0.53   docker-desktop   <none>           <none>
