sample,timestamp_utc,total_pods,running,pending,failed,unknown,total_restarts
1,2026-03-02T17:46:03Z,11,11,0,0,0,180
2,2026-03-02T17:46:18Z,11,11,0,0,0,180
3,2026-03-02T17:46:34Z,11,11,0,0,0,180
4,2026-03-02T17:46:49Z,11,11,0,0,0,180
5,2026-03-02T17:47:04Z,11,11,0,0,0,180
6,2026-03-02T17:47:20Z,11,11,0,0,0,180
7,2026-03-02T17:47:35Z,11,11,0,0,0,180
8,2026-03-02T17:47:50Z,11,11,0,0,0,180
9,2026-03-02T17:48:06Z,11,11,0,0,0,180
10,2026-03-02T17:48:21Z,11,11,0,0,0,180
11,2026-03-02T17:48:37Z,11,11,0,0,0,180
12,2026-03-02T17:48:52Z,11,11,0,0,0,180
13,2026-03-02T17:49:07Z,11,11,0,0,0,180
14,2026-03-02T17:49:23Z,11,11,0,0,0,180
15,2026-03-02T17:49:38Z,11,11,0,0,0,180
16,2026-03-02T17:49:54Z,11,11,0,0,0,180
17,2026-03-02T17:50:09Z,11,11,0,0,0,180
18,2026-03-02T17:50:25Z,11,11,0,0,0,180
19,2026-03-02T17:50:40Z,11,11,0,0,0,180
20,2026-03-02T17:50:55Z,11,11,0,0,0,180
