# command: kubectl get events -n default --sort-by=.metadata.creationTimestamp
LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
18m         Warning   Unhealthy   pod/adservice-55c598bc66-5pwnj               Liveness probe failed: timeout: failed to connect service "10.1.0.44:9555" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/adservice-55c598bc66-5pwnj               Readiness probe failed: timeout: failed to connect service "10.1.0.44:9555" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/checkoutservice-d895dbc6d-8q4lf          Liveness probe failed: timeout: failed to connect service "10.1.0.47:5050" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/checkoutservice-d895dbc6d-8q4lf          Readiness probe failed: timeout: failed to connect service "10.1.0.47:5050" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/currencyservice-bcb689c9d-z7cq4          Readiness probe failed: timeout: failed to connect service "10.1.0.42:7000" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/currencyservice-bcb689c9d-z7cq4          Liveness probe failed: timeout: failed to connect service "10.1.0.42:7000" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/emailservice-6897fbb74d-pbfg4            Readiness probe failed: timeout: failed to connect service "10.1.0.45:8080" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/emailservice-6897fbb74d-pbfg4            Liveness probe failed: timeout: failed to connect service "10.1.0.45:8080" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/paymentservice-8588d9c6dd-jw5sv          Readiness probe failed: timeout: failed to connect service "10.1.0.50:50051" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/paymentservice-8588d9c6dd-jw5sv          Liveness probe failed: timeout: failed to connect service "10.1.0.50:50051" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/productcatalogservice-67859888c6-mcppv   Liveness probe failed: timeout: failed to connect service "10.1.0.49:3550" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/productcatalogservice-67859888c6-mcppv   Readiness probe failed: timeout: health rpc did not complete within 1s
18m         Warning   Unhealthy   pod/recommendationservice-bdbc6cbcb-p48qb    Readiness probe failed: timeout: failed to connect service "10.1.0.51:8080" within 1s: context deadline exceeded
18m         Warning   Unhealthy   pod/recommendationservice-bdbc6cbcb-p48qb    Liveness probe failed: timeout: failed to connect service "10.1.0.51:8080" within 1s: context deadline exceeded
