# command: kubectl get services -n default -o wide
NAME                    TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)        AGE   SELECTOR
adservice               ClusterIP      10.105.164.26    <none>        9555/TCP       11d   app=adservice
cartservice             ClusterIP      10.109.162.57    <none>        7070/TCP       11d   app=cartservice
checkoutservice         ClusterIP      10.109.28.101    <none>        5050/TCP       11d   app=checkoutservice
currencyservice         ClusterIP      10.109.113.64    <none>        7000/TCP       11d   app=currencyservice
emailservice            ClusterIP      10.99.81.76      <none>        5000/TCP       11d   app=emailservice
frontend                ClusterIP      10.111.150.91    <none>        80/TCP         11d   app=frontend
frontend-external       LoadBalancer   10.110.123.146   localhost     80:32315/TCP   11d   app=frontend
kubernetes              ClusterIP      10.96.0.1        <none>        443/TCP        11d   <none>
paymentservice          ClusterIP      10.109.75.0      <none>        50051/TCP      11d   app=paymentservice
productcatalogservice   ClusterIP      10.96.25.84      <none>        3550/TCP       11d   app=productcatalogservice
recommendationservice   ClusterIP      10.106.147.154   <none>        8080/TCP       11d   app=recommendationservice
redis-cart              ClusterIP      10.100.193.142   <none>        6379/TCP       11d   app=redis-cart
shippingservice         ClusterIP      10.99.241.51     <none>        50051/TCP      11d   app=shippingservice
