Output directory: traffic_runs/20260416T225311Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=137, failures=0
Progress: 20s/300s, requests=257, failures=0
Progress: 30s/300s, requests=421, failures=0
Progress: 40s/300s, requests=462, failures=0
Progress: 50s/300s, requests=600, failures=0
Progress: 70s/300s, requests=743, failures=7
Progress: 80s/300s, requests=919, failures=180
Progress: 90s/300s, requests=1080, failures=337
Progress: 100s/300s, requests=1269, failures=519
Progress: 110s/300s, requests=1407, failures=654
Progress: 120s/300s, requests=1554, failures=798
Progress: 130s/300s, requests=1676, failures=917
Progress: 140s/300s, requests=1855, failures=1090
Progress: 150s/300s, requests=1972, failures=1203
Progress: 160s/300s, requests=2147, failures=1374
Progress: 170s/300s, requests=2313, failures=1537
Progress: 180s/300s, requests=2486, failures=1704
Progress: 190s/300s, requests=2620, failures=1834
Progress: 200s/300s, requests=2782, failures=1991
Progress: 210s/300s, requests=2927, failures=2134
Progress: 220s/300s, requests=3061, failures=2265
Progress: 230s/300s, requests=3217, failures=2416
Progress: 240s/300s, requests=3370, failures=2562
