Output directory: traffic_runs/20260416T225730Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: none
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=36, failures=36
Progress: 20s/300s, requests=76, failures=76
Progress: 30s/300s, requests=112, failures=104
Progress: 40s/300s, requests=152, failures=104
Progress: 50s/300s, requests=192, failures=104
Progress: 60s/300s, requests=228, failures=104
Progress: 70s/300s, requests=264, failures=132
Progress: 80s/300s, requests=304, failures=172
Progress: 90s/300s, requests=340, failures=208
Progress: 100s/300s, requests=380, failures=248
Progress: 110s/300s, requests=420, failures=288
Progress: 120s/300s, requests=456, failures=324
Progress: 130s/300s, requests=496, failures=364
Progress: 140s/300s, requests=536, failures=404
