Output directory: traffic_runs/20260417T052133Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 8 | Mode: checkout-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=5% browse+cart=5% full-checkout=90% (direct checkout path)
Progress: 10s/300s, requests=172, failures=0
Progress: 20s/300s, requests=397, failures=0
Progress: 30s/300s, requests=593, failures=0
Progress: 40s/300s, requests=836, failures=0
Progress: 50s/300s, requests=1078, failures=0
Progress: 60s/300s, requests=1248, failures=0
Progress: 80s/300s, requests=1568, failures=0
Progress: 90s/300s, requests=1743, failures=0
Progress: 130s/300s, requests=2172, failures=0
Progress: 140s/300s, requests=2397, failures=0
Progress: 150s/300s, requests=2550, failures=0
Progress: 160s/300s, requests=2723, failures=0
Progress: 170s/300s, requests=2868, failures=0
