Output directory: traffic_runs/20260417T060340Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 6 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=194, failures=0
Progress: 20s/300s, requests=377, failures=0
Progress: 30s/300s, requests=588, failures=0
Progress: 40s/300s, requests=801, failures=0
Progress: 50s/300s, requests=1027, failures=0
Progress: 60s/300s, requests=1199, failures=0
Progress: 80s/300s, requests=1453, failures=0
Progress: 100s/300s, requests=1676, failures=0
Progress: 110s/300s, requests=1848, failures=0
Progress: 120s/300s, requests=2087, failures=0
Progress: 130s/300s, requests=2280, failures=0
Progress: 140s/300s, requests=2507, failures=0
Progress: 150s/300s, requests=2709, failures=0
