Output directory: traffic_runs/20260416T180727Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=136, failures=0
Progress: 20s/300s, requests=268, failures=0
Progress: 30s/300s, requests=398, failures=0
Progress: 40s/300s, requests=521, failures=0
Progress: 50s/300s, requests=659, failures=0
Progress: 60s/300s, requests=773, failures=0
Progress: 70s/300s, requests=892, failures=0
Progress: 80s/300s, requests=1013, failures=0
Progress: 90s/300s, requests=1136, failures=0
Progress: 100s/300s, requests=1269, failures=0
Progress: 110s/300s, requests=1374, failures=0
