Output directory: traffic_runs/20260416T180931Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=124, failures=0
Progress: 20s/300s, requests=248, failures=0
Progress: 30s/300s, requests=368, failures=0
Progress: 40s/300s, requests=475, failures=0
Progress: 50s/300s, requests=595, failures=0
Progress: 60s/300s, requests=713, failures=0
Progress: 70s/300s, requests=840, failures=0
Progress: 80s/300s, requests=887, failures=0
Progress: 90s/300s, requests=1001, failures=0
Progress: 100s/300s, requests=1115, failures=0
Progress: 110s/300s, requests=1219, failures=0
Progress: 120s/300s, requests=1337, failures=0
Progress: 140s/300s, requests=1555, failures=0
