Output directory: traffic_runs/20260416T181700Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=165, failures=0
Progress: 20s/300s, requests=328, failures=0
Progress: 30s/300s, requests=498, failures=0
Progress: 40s/300s, requests=663, failures=0
Progress: 50s/300s, requests=829, failures=0
Progress: 70s/300s, requests=1097, failures=0
Progress: 80s/300s, requests=1252, failures=0
Progress: 90s/300s, requests=1428, failures=0
Progress: 100s/300s, requests=1588, failures=0
Progress: 110s/300s, requests=1734, failures=0
Progress: 120s/300s, requests=1886, failures=0
Progress: 130s/300s, requests=2009, failures=0
Progress: 140s/300s, requests=2209, failures=0
Progress: 170s/300s, requests=2704, failures=0
Progress: 180s/300s, requests=2809, failures=0
Progress: 190s/300s, requests=2966, failures=0
Progress: 200s/300s, requests=3120, failures=0
Progress: 210s/300s, requests=3279, failures=0
Progress: 220s/300s, requests=3426, failures=0
