[2026-04-16T18:20:51Z] detector initialized: incident_detected=True; top error service frontend at 6.782 rps; deployment recommendationservice available=0 updated=1 unavailable=1 desired=1; service recommendationservice ready_endpoints=0 not_ready_endpoints=1
[2026-04-16T18:21:02Z] detector update: top error service frontend at 8.655 rps; deployment recommendationservice available=0 updated=1 unavailable=1 desired=1; service recommendationservice ready_endpoints=0 not_ready_endpoints=1
[2026-04-16T18:21:12Z] detector update: top error service frontend at 9.455 rps; deployment recommendationservice available=0 updated=1 unavailable=1 desired=1; service recommendationservice ready_endpoints=0 not_ready_endpoints=1
[2026-04-16T18:21:22Z] detector update: top error service frontend at 6.764 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:21:33Z] detector update: top error service frontend at 8.800 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:21:43Z] detector update: top error service frontend at 11.673 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:21:54Z] detector update: top error service frontend at 9.800 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:22:05Z] detector update: top error service frontend at 15.126 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:22:15Z] detector update: top error service frontend at 16.855 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:22:25Z] detector update: top error service frontend at 18.237 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:22:37Z] detector update: top error service frontend at 12.837 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:22:47Z] detector update: top error service frontend at 14.910 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:22:58Z] detector update: top error service frontend at 12.201 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:23:08Z] detector update: top error service frontend at 8.102 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:23:19Z] detector update: top error service frontend at 10.800 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:23:29Z] detector update: top error service frontend at 10.069 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:23:40Z] detector update: top error service frontend at 7.999 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
