Output directory: traffic_runs/20260416T183619Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 20s/300s, requests=202, failures=0
Progress: 30s/300s, requests=333, failures=0
Progress: 40s/300s, requests=454, failures=0
Progress: 50s/300s, requests=599, failures=0
Progress: 60s/300s, requests=724, failures=0
Progress: 70s/300s, requests=836, failures=0
Progress: 80s/300s, requests=925, failures=0
Progress: 90s/300s, requests=1021, failures=0
Progress: 100s/300s, requests=1132, failures=0
Progress: 120s/300s, requests=1364, failures=0
Progress: 130s/300s, requests=1485, failures=0
Progress: 140s/300s, requests=1602, failures=0
Progress: 150s/300s, requests=1713, failures=0
Progress: 160s/300s, requests=1861, failures=0
Progress: 170s/300s, requests=1991, failures=0
Progress: 180s/300s, requests=2110, failures=0
Progress: 190s/300s, requests=2233, failures=0
