[2026-04-16T18:41:12Z] detector initialized: incident_detected=False; no detector triggered
[2026-04-16T18:41:43Z] detector state change: incident_detected; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:42:04Z] detector update: top error service frontend at 0.927 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:42:15Z] detector update: top error service frontend at 4.200 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:42:26Z] detector update: top error service frontend at 8.414 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:42:47Z] detector update: top error service frontend at 10.217 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:42:58Z] detector update: top error service frontend at 10.927 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:43:08Z] detector update: top error service frontend at 7.654 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:43:20Z] detector update: top error service frontend at 9.497 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:43:31Z] detector update: top error service frontend at 8.040 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:43:42Z] detector update: top error service frontend at 11.237 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:43:52Z] detector update: top error service frontend at 9.600 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:44:03Z] detector update: top error service frontend at 13.691 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:44:13Z] detector update: top error service frontend at 14.519 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:44:24Z] detector update: top error service frontend at 11.745 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:44:34Z] detector update: top error service frontend at 13.766 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:44:45Z] detector update: top error service frontend at 11.528 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:44:55Z] detector update: top error service frontend at 10.054 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:45:06Z] detector update: top error service frontend at 7.400 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
[2026-04-16T18:45:16Z] detector update: top error service frontend at 9.454 rps; deployment recommendationservice available=0 updated=0 unavailable=0 desired=0; service recommendationservice ready_endpoints=0 not_ready_endpoints=0
