Output directory: traffic_runs/20260416T184111Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=168, failures=0
Progress: 20s/300s, requests=351, failures=0
Progress: 40s/300s, requests=677, failures=0
Progress: 50s/300s, requests=854, failures=0
Progress: 60s/300s, requests=1000, failures=0
Progress: 70s/300s, requests=1127, failures=0
Progress: 100s/300s, requests=1438, failures=0
Progress: 110s/300s, requests=1541, failures=0
Progress: 120s/300s, requests=1704, failures=0
Progress: 140s/300s, requests=1938, failures=0
Progress: 150s/300s, requests=2064, failures=0
Progress: 160s/300s, requests=2240, failures=0
Progress: 170s/300s, requests=2402, failures=0
Progress: 180s/300s, requests=2538, failures=0
Progress: 190s/300s, requests=2693, failures=0
Progress: 200s/300s, requests=2855, failures=0
Progress: 210s/300s, requests=3024, failures=0
Progress: 220s/300s, requests=3154, failures=0
Progress: 230s/300s, requests=3317, failures=0
Progress: 240s/300s, requests=3431, failures=0
