Output directory: traffic_runs/20260416T183258Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=152, failures=0
Progress: 20s/300s, requests=363, failures=0
Progress: 30s/300s, requests=547, failures=0
Progress: 40s/300s, requests=736, failures=0
Progress: 50s/300s, requests=935, failures=0
Progress: 60s/300s, requests=1128, failures=0
Progress: 70s/300s, requests=1310, failures=0
Progress: 80s/300s, requests=1488, failures=0
Progress: 90s/300s, requests=1663, failures=0
Progress: 100s/300s, requests=1819, failures=0
Progress: 110s/300s, requests=1997, failures=0
Progress: 120s/300s, requests=2184, failures=0
Progress: 130s/300s, requests=2332, failures=0
Progress: 140s/300s, requests=2485, failures=0
Progress: 150s/300s, requests=2656, failures=0
Progress: 160s/300s, requests=2837, failures=0
Progress: 170s/300s, requests=3017, failures=0
Progress: 190s/300s, requests=3307, failures=0
