Output directory: traffic_runs/20260418T041620Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=36, failures=0
Progress: 40s/300s, requests=310, failures=0
Progress: 50s/300s, requests=428, failures=0
Progress: 60s/300s, requests=521, failures=0
Progress: 70s/300s, requests=659, failures=0
Progress: 80s/300s, requests=841, failures=0
Progress: 100s/300s, requests=1069, failures=0
Progress: 110s/300s, requests=1204, failures=0
Progress: 130s/300s, requests=1383, failures=0
Progress: 150s/300s, requests=1729, failures=0
Progress: 160s/300s, requests=1927, failures=0
Progress: 170s/300s, requests=2104, failures=0
Progress: 180s/300s, requests=2256, failures=0
Progress: 190s/300s, requests=2412, failures=0
