Output directory: traffic_runs/20260416T171220Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=137, failures=0
Progress: 20s/300s, requests=288, failures=0
Progress: 30s/300s, requests=473, failures=0
Progress: 40s/300s, requests=646, failures=0
Progress: 50s/300s, requests=802, failures=0
Progress: 60s/300s, requests=935, failures=0
Progress: 70s/300s, requests=1046, failures=0
Progress: 80s/300s, requests=1222, failures=0
Progress: 90s/300s, requests=1335, failures=0
Progress: 100s/300s, requests=1456, failures=0
Progress: 110s/300s, requests=1509, failures=0
Progress: 120s/300s, requests=1651, failures=0
Progress: 130s/300s, requests=1807, failures=0
Progress: 150s/300s, requests=2045, failures=0
