Output directory: traffic_runs/20260416T175124Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: browse-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=80% browse+cart=15% full-checkout=5%
Progress: 10s/300s, requests=128, failures=0
Progress: 20s/300s, requests=263, failures=0
Progress: 30s/300s, requests=400, failures=0
Progress: 40s/300s, requests=536, failures=0
Progress: 50s/300s, requests=675, failures=0
Progress: 70s/300s, requests=856, failures=0
Progress: 80s/300s, requests=982, failures=0
Progress: 90s/300s, requests=1130, failures=0
Progress: 100s/300s, requests=1242, failures=0
Progress: 110s/300s, requests=1366, failures=0
Progress: 120s/300s, requests=1505, failures=0
Progress: 130s/300s, requests=1661, failures=0
