Output directory: traffic_runs/20260416T200229Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=126, failures=0
Progress: 20s/300s, requests=243, failures=0
Progress: 30s/300s, requests=385, failures=0
Progress: 40s/300s, requests=514, failures=129
Progress: 50s/300s, requests=630, failures=245
Progress: 70s/300s, requests=763, failures=378
Progress: 80s/300s, requests=860, failures=475
Progress: 90s/300s, requests=981, failures=596
Progress: 100s/300s, requests=1028, failures=643
Progress: 110s/300s, requests=1039, failures=643
Progress: 120s/300s, requests=1125, failures=643
Progress: 130s/300s, requests=1256, failures=643
Progress: 140s/300s, requests=1372, failures=643
Progress: 150s/300s, requests=1487, failures=643
Progress: 160s/300s, requests=1609, failures=643
Progress: 170s/300s, requests=1736, failures=643
Progress: 180s/300s, requests=1849, failures=643
Progress: 190s/300s, requests=1956, failures=643
Progress: 200s/300s, requests=2064, failures=643
Progress: 210s/300s, requests=2162, failures=643
Progress: 220s/300s, requests=2271, failures=643
Progress: 230s/300s, requests=2388, failures=643
