Output directory: traffic_runs/20260416T194907Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 8 | Mode: checkout-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=5% browse+cart=5% full-checkout=90% (direct checkout path)
Progress: 10s/300s, requests=228, failures=0
Progress: 20s/300s, requests=421, failures=0
Progress: 30s/300s, requests=668, failures=0
Progress: 40s/300s, requests=889, failures=0
Progress: 50s/300s, requests=1108, failures=0
Progress: 60s/300s, requests=1331, failures=0
Progress: 70s/300s, requests=1550, failures=0
Progress: 100s/300s, requests=2092, failures=0
Progress: 110s/300s, requests=2318, failures=0
Progress: 120s/300s, requests=2491, failures=0
Progress: 140s/300s, requests=2906, failures=0
Progress: 180s/300s, requests=3159, failures=8
Progress: 200s/300s, requests=3336, failures=8
