Output directory: traffic_runs/20260416T193404Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 20s/300s, requests=240, failures=0
Progress: 30s/300s, requests=351, failures=0
Progress: 40s/300s, requests=501, failures=134
Progress: 50s/300s, requests=632, failures=265
Progress: 60s/300s, requests=733, failures=366
Progress: 70s/300s, requests=859, failures=492
Progress: 80s/300s, requests=972, failures=605
Progress: 90s/300s, requests=1097, failures=730
Progress: 100s/300s, requests=1205, failures=809
Progress: 110s/300s, requests=1323, failures=809
Progress: 120s/300s, requests=1455, failures=809
Progress: 130s/300s, requests=1558, failures=809
Progress: 140s/300s, requests=1683, failures=809
Progress: 160s/300s, requests=1906, failures=809
Progress: 170s/300s, requests=2008, failures=809
Progress: 180s/300s, requests=2134, failures=809
Progress: 190s/300s, requests=2243, failures=809
Progress: 200s/300s, requests=2344, failures=809
Progress: 210s/300s, requests=2466, failures=809
Progress: 220s/300s, requests=2545, failures=809
