Output directory: traffic_runs/20260416T070936Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 20s/300s, requests=310, failures=0
Progress: 40s/300s, requests=513, failures=0
Progress: 50s/300s, requests=661, failures=0
Progress: 70s/300s, requests=901, failures=0
Progress: 80s/300s, requests=1030, failures=0
Progress: 90s/300s, requests=1165, failures=0
Progress: 100s/300s, requests=1303, failures=0
Progress: 110s/300s, requests=1444, failures=0
Progress: 120s/300s, requests=1606, failures=0
Progress: 130s/300s, requests=1769, failures=0
Progress: 140s/300s, requests=1931, failures=0
Progress: 150s/300s, requests=2098, failures=0
Progress: 160s/300s, requests=2190, failures=0
