Output directory: traffic_runs/20260418T053801Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: checkout-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=5% browse+cart=5% full-checkout=90% (direct checkout path)
Progress: 10s/300s, requests=61, failures=0
Progress: 20s/300s, requests=136, failures=0
Progress: 150s/300s, requests=490, failures=0
Progress: 160s/300s, requests=513, failures=0
Progress: 190s/300s, requests=621, failures=0
Progress: 210s/300s, requests=681, failures=0
Progress: 220s/300s, requests=709, failures=0
Progress: 230s/300s, requests=770, failures=0
Progress: 250s/300s, requests=818, failures=0
Progress: 260s/300s, requests=890, failures=0
Progress: 270s/300s, requests=950, failures=0
