Output directory: traffic_runs/20260418T055532Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: none
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=20, failures=20
Progress: 40s/300s, requests=124, failures=105
Progress: 80s/300s, requests=208, failures=172
Progress: 90s/300s, requests=248, failures=212
Progress: 100s/300s, requests=284, failures=248
Progress: 110s/300s, requests=320, failures=284
Progress: 120s/300s, requests=356, failures=320
Progress: 130s/300s, requests=376, failures=340
Progress: 140s/300s, requests=416, failures=380
Progress: 150s/300s, requests=452, failures=416
Progress: 160s/300s, requests=492, failures=456
Progress: 180s/300s, requests=564, failures=528
Progress: 190s/300s, requests=596, failures=560
Progress: 200s/300s, requests=636, failures=600
