Output directory: traffic_runs/20260418T044943Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=75, failures=0
Progress: 20s/300s, requests=165, failures=0
Progress: 30s/300s, requests=223, failures=0
Progress: 40s/300s, requests=262, failures=0
Progress: 100s/300s, requests=425, failures=0
Progress: 120s/300s, requests=544, failures=0
Progress: 140s/300s, requests=636, failures=0
Progress: 150s/300s, requests=688, failures=0
Progress: 160s/300s, requests=744, failures=0
Progress: 180s/300s, requests=893, failures=0
Progress: 190s/300s, requests=988, failures=0
Progress: 200s/300s, requests=1053, failures=0
